autor_comentario,nota_comentario,conteudo_comentario
Anderson,2,fábula produzer extremo esmero god Willen dafoer frankenstein simultaneamente criador criatura reviver suicídio bello Emma stone implantar crânio cérebro bebê grávir alcancer finalidade criar junção corpo distinto cachorro cabeça ganso deslocamento parte corpo permitir acompanhar desenvolvimento físico mental caso principalmente sexual bebê implicâncio ordem moral de aí acompanhar evolução transformador fase adulto impor se frente personagem masculino permanecer imutável procurar sucesso aprisioná la mantendo-a distante influência Godwin encarnar papel pai super protetor max futuro marido desejar intocado duncan homem propor dono corpo personagem pequeno transitar domínio bella feminista concreto feminista teórico desejar ser haver destacar discussão gerar cena sexo indispensável pretender história creditar único exclusivamente freio moral de aquele perder blá-blá-blá ser trabalho hercúleo juíz academia hollywood escolher óscar ir premiar filme merecer
Rodrigo Barroso,3,yorgo Lanthimos predileção evidente explorar comportamento extremo cenário transpir perfeição ser recanto tranquilo subúrbio dogtoothr ambiente clínico the lobster grandiosidade opulento the favourite dicotomia marcante expectativa social complexidade naturezo humano intrigar ele profundamente recente trabalho poor things conflito atingir ápice excentricidade entretenimento filme verdadeiro desfile peculiaridade atuação diálogo detalhe produção figurino entanto excentricidade lanthimos confrontar estranheza estabelecer conexão genuinamente humano protagonista bello Baxter anseiar autodescoberto buscar genuinamente identidade próprio relacionamento autêntico livre manipulação premisso poder parecer familiar execução repletar reviravolta inesperar ambientado londr vitoriano filme seguir jornada bello interpretar emma stone viver elegante residência excêntrico cientista dr. Godwin Baxter viver Willem dafoe complexo godwin desempenhar papel mero tutor longo trama bello influenciar diversos homem incluir max mccandles interpretar ramy youssef Canalha duncan wedderburn viver mark ruffalo max representar figura duncan envolver extravagante jornada mundo resumir principalmente encontro íntimo stone entrega performance excepcional navegar habilmente diferente estágio evolução personagem inocência inicial libertação sexual interpretação técnico emocionalmente precisar cativar audiência fazer torcer bello lutar opressão patriarcal crescente poor things obra cinematográfico extraordinário cena obra-prima si mesmo recomendar filme vivamente procurar experiência cinematográfico único memorável
Biagioconsultoria,1,horrível perca ... cena exagerar sexo ... deus aguentar bella pular filme falar f@d#r!!outra ... filme apologia pedofilia ? .. cérebro bello criança acrescentar ... sociedade doente deus realmente pobre criatura
Gustavo,1,filme repugnate ridículo dar vergonha alheio assistir lembrar assistir apelativo desnecessariamente pornografico exacerbadamente culto ato admiração beleza cena nojento esposo conseguir terminar filme saímos faltar 40 min tentar esperar melhorar pra mau cult aclamar filme entao cult nunc
renato s.,1,dever tratar criança experimento dever sexualizar criança aproveitar maturidade normalizar pedofilia normalizar figura patriarcar opressor pornografia oscar
Lindomar Guimarães de Jesus,1,piore filme ver valer longo chato arrastar quase pôrno ...
Rayanechrist,1,detestar ideia filme liberdade conhecer mundo genial transição personagem mente infantil mentir adulto extremamente sexualizada achar prevalecer deixar ideia central de ela querer explorar mundo agulha palheiro achar péssimo massante assistir cinema acabar ruim
Aldeane E.,1,poder lançar bom amigo nemo ficar preso saco plástico /lancem
Francisco F.,3,obra primo desenho animar filme alegre colorir divertido inesquecível enredo procurar filho emoção sentimento contagiar família transmitir bom lição criança
Raphael N.,3,"procurar nemo obra primo pixar vista narrativo visual visualmente falar espetáculo levar consideração tecnologio époco principalmente pensarr quantidade animação água fazer posteriormente estúdio de elas chegar pé beleza nemo qualidade gráfico superior apresentar próprio disney-pixar moano procurar dory dinossauro "" roteiro magnífico execução Beira perfeição filme começar dar murro boca estômago cena inicial hoje forte triste pixar peso traum início rapidamente gente aproximar Marlin entender perfeitamente superproteção nemo desenrolar trama filme apresentar série ótimos personagem secundário nenhum unidimensional camada propósito importante trama destaque merecer dory tratar cuidado roteiro direção perder graça ficar irritante ganhar arco complementar protagonista falar graça filme ótimo timing cômico piada dosar divertar adulto pirralho igualmente usar humor bobinho piada pum humor difícil captar cena tubarão representar alcoólico anônimo roteiro arriscar colocar diversos subtrama deixar ponta soltar subtrama servir trama principal pra fechar chave ouro último cena 
  spoiler 
   nemo Marlim dory salvar peixe rede pescador 
  fechamento arco principal arrancar força lágrim olhos trilha sonoro merecer estatueto oscar dúvida extremamente original marcante reger tom filme navegar tensão levezo aventura melancolia melodia fluir ornar lindamente som ondas encontrar defeito procurar nemo suspeito falar animação favorito vida ficar dica façam revisita clássico disney-pixar"
Dennys R,1,animação incrível atentar detalhe valer pena conferir
Vinícius d,2,divertido animação clássico cinemas pixar peixe palhaço desenho animar tubarão dory comédia filme participante clube bom animação digital detalhe gráfico animação basear tecnologia moderno desenho ano 2000 manter    humor sacar bom empolgar criança tio adulto assistir
Ryan,3,incrível lembro assistir diversos infância sentir sentimento esperançr Busca nemo hoje ano assisti novamente contar citação filme discurso motivação surpreendi filme passar mensagem incrível conseguir divertido inteligente encantador principalmente atemporal
Sandro P.,2,ótimm animação feita desenho divertido alegre assistir público adulto
Estevan Magno,2,animação oceano bonito emocionar pai filho reencontr cansar desenho cansativo lir filme pixar trilha sonoro fortemente usar indústria parabéns Marlin filho oceano acha-lo coração
Paulo,2,sensacional aventura fundo mar falar amizade pai filho
Thomas Jefferson,3,bom filme animação apesar filme mundo telespectador ser superientendido personagem fazer filme tornar literalmente filme divertido elegante duradouro    procurar nemo erro acerto
Antonio A.,3,eita filme gostoso assistir super família agrar cheio adulto criança crescir ... escrever trabalho gráfico excelente produtor
Um visitante,1,novamente filme animação disney parceria pixar trazer animação direção divider responsável Andrew Stanton Lee unkrich ter trabalhar vida inseto personagem parecido ambiente diferente procurar nemo visualmente bonito aproveitar cor ajudar tom azular fundo Mar viajar história superação principalmente buscar desesperar pai reencontrar pequeno peixinho palhaço chegar pai passar lugar perigoso conhecer pequeno ser ajudar longo de ele dory peixinhar tagarelo memória apagar minuto minuto ser divertido filme
Leon K.,3,classico animação!impossivel emocionar pequeno nemo luta hilario dory irritar chato    ta lista bom filme ja Assisti final?ah so ver rs
Lohanne C.,3,filme assistir ate decorar fala cansar assistir
apenasumr,2,outro clâssico disney filme recomendar ver
Neto S.,2,passado reserva triste memória Marlin recifes coral perder esposo ninhado criar único filho nemo cuidado mundo pequeno simpático peixe-palhaço acabar exagerar durante simples discussão acabar ser capturar mergulhador pai super protetor precisar entrar ação buscar incansável mar abrir Esperança encontrar amado filhote acabar conhecer dory junto duplo viver incrível aventura nemo viver intenso experiência amigo habitante aquário precisar ajudá-lo escapar destino reservar parar mão terrível darla sobrinho dentista capturar procurar nemo otimo animaçao divertido rever nota 9.0
Luis R.,3,excelente!!!os personagem carismático piada inteligente aventura cativante recriação digital mundo subaquático beleza habitantes extraordinário
Victor N.,2,achar filme animação pixar excelente
Pablo M.,3,inesquecível bom animação fazer história cativante divertido ótimos personagem
